,Scenario,lambda,p,q
303,304.0,1.0,0.8,0.95
304,305.0,1.0,0.85,0.05
305,306.0,1.0,0.85,0.1
306,307.0,1.0,0.85,0.15
307,308.0,1.0,0.85,0.2
308,309.0,1.0,0.85,0.25
309,310.0,1.0,0.85,0.3
310,311.0,1.0,0.85,0.35
311,312.0,1.0,0.85,0.4
312,313.0,1.0,0.85,0.45
313,314.0,1.0,0.85,0.5
314,315.0,1.0,0.85,0.55
315,316.0,1.0,0.85,0.6
316,317.0,1.0,0.85,0.65
317,318.0,1.0,0.85,0.7
318,319.0,1.0,0.85,0.75
319,320.0,1.0,0.85,0.8
320,321.0,1.0,0.85,0.85
321,322.0,1.0,0.85,0.9
322,323.0,1.0,0.85,0.95
323,324.0,1.0,0.9,0.05
324,325.0,1.0,0.9,0.1
325,326.0,1.0,0.9,0.15
326,327.0,1.0,0.9,0.2
327,328.0,1.0,0.9,0.25
328,329.0,1.0,0.9,0.3
329,330.0,1.0,0.9,0.35
330,331.0,1.0,0.9,0.4
331,332.0,1.0,0.9,0.45
332,333.0,1.0,0.9,0.5
333,334.0,1.0,0.9,0.55
334,335.0,1.0,0.9,0.6
335,336.0,1.0,0.9,0.65
336,337.0,1.0,0.9,0.7
337,338.0,1.0,0.9,0.75
338,339.0,1.0,0.9,0.8
339,340.0,1.0,0.9,0.85
340,341.0,1.0,0.9,0.9
341,342.0,1.0,0.9,0.95
342,343.0,1.0,0.95,0.05
343,344.0,1.0,0.95,0.1
344,345.0,1.0,0.95,0.15
345,346.0,1.0,0.95,0.2
346,347.0,1.0,0.95,0.25
347,348.0,1.0,0.95,0.3
348,349.0,1.0,0.95,0.35
349,350.0,1.0,0.95,0.4
350,351.0,1.0,0.95,0.45
351,352.0,1.0,0.95,0.5
352,353.0,1.0,0.95,0.55
353,354.0,1.0,0.95,0.6
354,355.0,1.0,0.95,0.65
355,356.0,1.0,0.95,0.7
356,357.0,1.0,0.95,0.75
357,358.0,1.0,0.95,0.8
358,359.0,1.0,0.95,0.85
359,360.0,1.0,0.95,0.9
360,361.0,1.0,0.95,0.95
